datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
2012-09-01 00:00:00,3,0,0,1,30.34,34.09,62,7.0015,168
2012-09-01 01:00:00,3,0,0,1,29.52,34.85,74,8.9981,79
2012-09-01 02:00:00,3,0,0,1,28.7,32.575,70,11.0014,69
2012-09-01 03:00:00,3,0,0,1,28.7,32.575,70,7.0015,35
2012-09-01 04:00:00,3,0,0,1,28.7,32.575,70,0.0,12
2012-09-01 05:00:00,3,0,0,1,27.88,31.82,79,0.0,22
2012-09-01 06:00:00,3,0,0,1,27.88,31.82,79,0.0,36
2012-09-01 07:00:00,3,0,0,2,30.34,34.09,58,8.9981,66
2012-09-01 08:00:00,3,0,0,2,31.16,35.605,58,16.9979,162
2012-09-01 09:00:00,3,0,0,2,31.16,35.605,58,12.998,237
2012-09-01 10:00:00,3,0,0,2,31.98,36.365,55,12.998,417
2012-09-01 11:00:00,3,0,0,2,32.8,37.88,55,15.0013,492
2012-09-01 12:00:00,3,0,0,2,32.8,37.88,55,11.0014,471
2012-09-01 13:00:00,3,0,0,2,33.62,38.635,52,6.0032,504
2012-09-01 14:00:00,3,0,0,2,35.26,39.395,44,11.0014,514
2012-09-01 15:00:00,3,0,0,2,35.26,39.395,44,19.0012,563
2012-09-01 16:00:00,3,0,0,2,34.44,39.395,49,11.0014,462
2012-09-01 17:00:00,3,0,0,2,33.62,38.635,52,0.0,463
2012-09-01 18:00:00,3,0,0,2,33.62,38.635,52,0.0,442
2012-09-01 19:00:00,3,0,0,3,31.98,37.12,62,0.0,392
2012-09-01 20:00:00,3,0,0,3,31.16,36.365,67,16.9979,207
2012-09-01 21:00:00,3,0,0,3,26.24,28.79,89,0.0,104
2012-09-01 22:00:00,3,0,0,2,27.06,29.545,89,0.0,78
2012-09-01 23:00:00,3,0,0,1,27.06,29.545,89,6.0032,145
2012-09-02 00:00:00,3,0,0,2,27.06,29.545,89,6.0032,99
2012-09-02 01:00:00,3,0,0,1,27.06,29.545,89,0.0,73
2012-09-02 02:00:00,3,0,0,1,27.06,29.545,89,0.0,84
2012-09-02 03:00:00,3,0,0,1,27.06,29.545,89,6.0032,42
2012-09-02 04:00:00,3,0,0,1,27.06,29.545,89,0.0,22
2012-09-02 05:00:00,3,0,0,1,27.06,29.545,89,0.0,12
2012-09-02 06:00:00,3,0,0,2,27.06,29.545,89,0.0,15
2012-09-02 07:00:00,3,0,0,1,27.06,29.545,94,6.0032,42
2012-09-02 08:00:00,3,0,0,1,27.88,31.82,89,6.0032,129
2012-09-02 09:00:00,3,0,0,2,28.7,33.335,84,0.0,232
2012-09-02 10:00:00,3,0,0,2,29.52,34.85,79,0.0,388
2012-09-02 11:00:00,3,0,0,2,30.34,34.85,70,0.0,489
2012-09-02 12:00:00,3,0,0,3,30.34,34.85,70,0.0,545
2012-09-02 13:00:00,3,0,0,3,29.52,34.85,74,6.0032,493
2012-09-02 14:00:00,3,0,0,3,29.52,34.85,79,6.0032,457
2012-09-02 15:00:00,3,0,0,3,30.34,35.605,74,8.9981,355
2012-09-02 16:00:00,3,0,0,1,30.34,34.85,70,0.0,474
2012-09-02 17:00:00,3,0,0,1,31.16,36.365,66,6.0032,503
2012-09-02 18:00:00,3,0,0,1,30.34,35.605,74,0.0,500
2012-09-02 19:00:00,3,0,0,2,28.7,33.335,84,15.0013,292
2012-09-02 20:00:00,3,0,0,2,28.7,33.335,84,11.0014,104
2012-09-02 21:00:00,3,0,0,1,28.7,32.575,70,11.0014,171
2012-09-02 22:00:00,3,0,0,3,27.88,31.82,83,8.9981,166
2012-09-02 23:00:00,3,0,0,3,27.06,29.545,89,6.0032,123
2012-09-03 00:00:00,3,1,0,2,27.06,29.545,94,0.0,104
2012-09-03 01:00:00,3,1,0,2,27.88,31.82,89,11.0014,55
2012-09-03 02:00:00,3,1,0,1,27.06,29.545,89,7.0015,40
2012-09-03 03:00:00,3,1,0,1,27.06,29.545,89,8.9981,28
2012-09-03 04:00:00,3,1,0,1,27.06,29.545,89,6.0032,11
2012-09-03 05:00:00,3,1,0,1,27.06,29.545,89,0.0,4
2012-09-03 06:00:00,3,1,0,1,27.06,29.545,94,0.0,15
2012-09-03 07:00:00,3,1,0,1,27.88,31.82,85,0.0,43
2012-09-03 08:00:00,3,1,0,2,28.7,33.335,84,7.0015,127
2012-09-03 09:00:00,3,1,0,2,28.7,33.335,84,8.9981,229
2012-09-03 10:00:00,3,1,0,2,30.34,35.605,74,15.0013,359
2012-09-03 11:00:00,3,1,0,2,30.34,34.85,70,19.0012,459
2012-09-03 12:00:00,3,1,0,2,31.16,35.605,62,19.9995,543
2012-09-03 13:00:00,3,1,0,2,31.16,36.365,66,16.9979,566
2012-09-03 14:00:00,3,1,0,1,30.34,34.85,70,19.9995,512
2012-09-03 15:00:00,3,1,0,1,30.34,34.85,70,15.0013,449
2012-09-03 16:00:00,3,1,0,1,30.34,34.85,70,15.0013,500
2012-09-03 17:00:00,3,1,0,1,30.34,34.85,70,8.9981,498
2012-09-03 18:00:00,3,1,0,1,30.34,34.85,66,11.0014,482
2012-09-03 19:00:00,3,1,0,1,29.52,34.85,74,12.998,374
2012-09-03 20:00:00,3,1,0,1,29.52,34.09,76,7.0015,261
2012-09-03 21:00:00,3,1,0,1,29.52,34.09,76,7.0015,184
2012-09-03 22:00:00,3,1,0,2,28.7,33.335,84,8.9981,121
2012-09-03 23:00:00,3,1,0,2,28.7,33.335,84,16.9979,70
2012-09-04 00:00:00,3,0,1,2,28.7,33.335,84,16.9979,29
2012-09-04 01:00:00,3,0,1,1,27.88,31.82,82,8.9981,24
2012-09-04 02:00:00,3,0,1,1,27.88,31.82,82,8.9981,5
2012-09-04 03:00:00,3,0,1,2,27.06,29.545,89,6.0032,10
2012-09-04 04:00:00,3,0,1,2,27.06,29.545,89,0.0,8
2012-09-04 05:00:00,3,0,1,2,27.06,29.545,89,0.0,38
2012-09-04 06:00:00,3,0,1,2,27.88,31.82,89,7.0015,172
2012-09-04 07:00:00,3,0,1,2,27.88,31.82,89,7.0015,493
2012-09-04 08:00:00,3,0,1,1,28.7,33.335,84,11.0014,632
2012-09-04 09:00:00,3,0,1,2,29.52,34.85,79,15.0013,323
2012-09-04 10:00:00,3,0,1,2,29.52,34.85,74,16.9979,172
2012-09-04 11:00:00,3,0,1,2,30.34,34.85,70,19.0012,198
2012-09-04 12:00:00,3,0,1,1,31.16,36.365,70,19.0012,287
2012-09-04 13:00:00,3,0,1,1,32.8,37.88,55,30.0026,275
2012-09-04 14:00:00,3,0,1,1,32.8,37.88,55,27.9993,274
2012-09-04 15:00:00,3,0,1,1,32.8,38.635,59,31.0009,292
2012-09-04 16:00:00,3,0,1,1,31.16,36.365,70,27.9993,458
2012-09-04 17:00:00,3,0,1,1,31.16,36.365,70,23.9994,856
2012-09-04 18:00:00,3,0,1,1,31.16,37.12,75,15.0013,839
2012-09-04 19:00:00,3,0,1,1,31.16,36.365,70,15.0013,552
2012-09-04 20:00:00,3,0,1,1,30.34,34.85,70,16.9979,385
2012-09-04 21:00:00,3,0,1,1,30.34,35.605,74,16.9979,268
2012-09-04 22:00:00,3,0,1,1,30.34,34.85,70,19.0012,179
2012-09-04 23:00:00,3,0,1,1,29.52,34.85,74,19.9995,95
2012-09-05 00:00:00,3,0,1,1,29.52,34.85,74,16.9979,37
2012-09-05 01:00:00,3,0,1,1,28.7,33.335,84,12.998,13
2012-09-05 02:00:00,3,0,1,1,28.7,33.335,84,12.998,9
2012-09-05 03:00:00,3,0,1,1,28.7,33.335,79,19.0012,4
2012-09-05 04:00:00,3,0,1,1,28.7,33.335,79,19.0012,5
2012-09-05 05:00:00,3,0,1,2,28.7,33.335,79,19.9995,40
2012-09-05 06:00:00,3,0,1,1,28.7,33.335,79,19.0012,210
2012-09-05 07:00:00,3,0,1,2,28.7,33.335,79,16.9979,500
2012-09-05 08:00:00,3,0,1,1,29.52,34.85,74,12.998,725
2012-09-05 09:00:00,3,0,1,1,30.34,34.85,70,16.9979,290
2012-09-05 10:00:00,3,0,1,2,31.16,36.365,70,11.0014,235
2012-09-05 11:00:00,3,0,1,2,31.98,37.12,62,11.0014,217
2012-09-05 12:00:00,3,0,1,1,31.98,38.635,70,7.0015,266
2012-09-05 13:00:00,3,0,1,1,32.8,39.395,63,11.0014,234
2012-09-05 14:00:00,3,0,1,1,33.62,39.395,56,7.0015,211
2012-09-05 15:00:00,3,0,1,1,31.98,38.635,70,12.998,245
2012-09-05 16:00:00,3,0,1,1,31.16,36.365,70,16.9979,430
2012-09-05 17:00:00,3,0,1,1,31.16,36.365,66,16.9979,863
2012-09-05 18:00:00,3,0,1,1,31.16,37.12,75,12.998,839
2012-09-05 19:00:00,3,0,1,1,30.34,34.85,70,11.0014,662
2012-09-05 20:00:00,3,0,1,1,29.52,35.605,84,11.0014,412
2012-09-05 21:00:00,3,0,1,1,29.52,34.85,79,0.0,296
2012-09-05 22:00:00,3,0,1,1,29.52,34.85,79,0.0,219
2012-09-05 23:00:00,3,0,1,1,28.7,33.335,84,6.0032,150
2012-09-06 00:00:00,3,0,1,2,28.7,33.335,84,6.0032,65
2012-09-06 01:00:00,3,0,1,2,28.7,33.335,84,0.0,18
2012-09-06 02:00:00,3,0,1,1,29.52,34.85,79,0.0,8
2012-09-06 03:00:00,3,0,1,1,28.7,33.335,84,7.0015,9
2012-09-06 04:00:00,3,0,1,2,28.7,33.335,84,6.0032,8
2012-09-06 05:00:00,3,0,1,2,28.7,33.335,84,12.998,38
2012-09-06 06:00:00,3,0,1,2,28.7,33.335,84,6.0032,200
2012-09-06 07:00:00,3,0,1,2,28.7,33.335,84,7.0015,482
2012-09-06 08:00:00,3,0,1,3,28.7,33.335,79,0.0,646
2012-09-06 09:00:00,3,0,1,3,27.06,29.545,94,8.9981,123
2012-09-06 10:00:00,3,0,1,3,27.06,29.545,94,8.9981,49
2012-09-06 11:00:00,3,0,1,3,28.7,33.335,84,11.0014,62
2012-09-06 12:00:00,3,0,1,2,29.52,34.85,79,15.0013,137
2012-09-06 13:00:00,3,0,1,2,29.52,34.85,79,7.0015,191
2012-09-06 14:00:00,3,0,1,1,30.34,35.605,74,6.0032,216
2012-09-06 15:00:00,3,0,1,1,30.34,34.85,66,12.998,270
2012-09-06 16:00:00,3,0,1,1,30.34,34.85,70,15.0013,416
2012-09-06 17:00:00,3,0,1,1,30.34,34.85,70,16.9979,808
2012-09-06 18:00:00,3,0,1,1,29.52,34.09,70,16.9979,835
2012-09-06 19:00:00,3,0,1,1,27.88,31.82,74,16.9979,558
2012-09-06 20:00:00,3,0,1,1,27.06,30.305,78,15.0013,406
2012-09-06 21:00:00,3,0,1,1,26.24,28.79,89,11.0014,272
2012-09-06 22:00:00,3,0,1,1,26.24,28.79,89,11.0014,217
2012-09-06 23:00:00,3,0,1,1,26.24,28.79,89,11.0014,169
2012-09-07 00:00:00,3,0,1,1,26.24,28.79,89,8.9981,96
2012-09-07 01:00:00,3,0,1,1,25.42,28.03,88,7.0015,29
2012-09-07 02:00:00,3,0,1,1,25.42,28.79,83,6.0032,11
2012-09-07 03:00:00,3,0,1,1,25.42,28.79,83,6.0032,9
2012-09-07 04:00:00,3,0,1,1,25.42,28.03,88,0.0,8
2012-09-07 05:00:00,3,0,1,1,25.42,28.03,88,0.0,40
